Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000066, 0.000052, 0.000039, 0.000032, 0.000029, 0.000029
1000, 0.002642, 0.001875, 0.001017, 0.000424, 0.000189, 0.000157
10000, 0.175239, 0.128828, 0.071699, 0.026151, 0.006132, 0.002202
