Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000040, 0.000018, 0.000002, 0.000013, 0.000039, 0.000017
1000, 0.002991, 0.001473, 0.000005, 0.000088, 0.002059, 0.000153
10000, 0.272852, 0.127205, 0.000068, 0.001028, 0.227054, 0.002636
