Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000074, 0.000050, 0.000035, 0.000046, 0.000061, 0.000057
1000, 0.005509, 0.003730, 0.001736, 0.001301, 0.001758, 0.001465
10000, 0.202088, 0.127279, 0.058656, 0.060847, 0.092035, 0.075218
