Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000070, 0.000056, 0.000046, 0.000042, 0.000043, 0.000040
1000, 0.004394, 0.002903, 0.001688, 0.001064, 0.000889, 0.000674
10000, 0.184116, 0.148413, 0.108928, 0.082822, 0.078631, 0.058358
