Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000042, 0.000019, 0.000023, 0.000012, 0.000026, 0.000013
1000, 0.003859, 0.001537, 0.001396, 0.000086, 0.001706, 0.000175
10000, 0.250341, 0.134415, 0.148723, 0.000966, 0.221918, 0.002451
