Array Size, Bubble Sort, Selection Sort, Insertion Sort, Merge Sort, Quick Sort, Heap Sort
100, 0.000039, 0.000031, 0.000025, 0.000040, 0.000060, 0.000057
1000, 0.002329, 0.001562, 0.000748, 0.000657, 0.000933, 0.000792
10000, 0.118423, 0.089557, 0.049699, 0.055468, 0.083732, 0.068339
